Mesocosm,Treatment,Dosing,Anomopoda,Copepods,Keratella_quadrata,Naupli,Asplanchna,Lepadella,Ostracods,Keratella_cochlearis,Daphnia,Cloeon,Synchaeta,Keratella_serrulata
A10,U,Legacy,1,25,1,34,5,1,14,0,0,0,0,0
A10,U,Post,0,0,0,0,0,0,0,0,0,0,0,0
A10,U,Pre,0,22,1,49,5,0,0,0,0,0,0,0
A11,4UR,Post,0,0,0,0,0,0,0,0,0,0,0,0
A11,4UR,Legacy,1,57,1520,191,1,0,4,4,0,0,0,0
A11,4UR,Pre,0,76,25,129,4,0,8,0,0,0,0,0
A12,UR,Legacy,1,4,6,68,0,0,1,0,0,0,0,0
A12,UR,Post,0,0,0,1,0,0,0,0,0,0,0,0
A12,UR,Pre,0,45,86,140,0,0,1,0,0,0,0,0
A2,Control,Legacy,40,7,0,5,1,0,1,0,0,0,0,0
A2,Control,Post,0,0,0,0,0,6,0,0,0,0,0,0
A2,Control,Pre,0,4,1,12,0,0,6,0,0,0,0,0
A4,UR,Legacy,0,0,0,11,0,0,0,0,0,0,0,0
A4,UR,Post,0,0,0,0,0,14,0,0,0,0,0,0
A4,UR,Pre,0,0,40,2,0,0,0,0,0,0,0,0
B12,Control,Legacy,18,35,2,310,0,0,7,0,0,0,0,0
B12,Control,Post,0,0,0,0,0,0,0,0,0,0,0,0
B12,Control,Pre,0,6,599,20,3,0,0,0,0,0,0,0
B2,U,Legacy,30,0,0,2,0,0,6,0,0,0,0,0
B2,U,Post,0,7,45,15,0,2,0,0,0,0,0,0
B2,U,Pre,0,2,4,4,0,0,0,0,0,0,0,0
B5,R,Legacy,0,3,0,6,0,0,2,0,0,0,0,0
B5,R,Post,0,0,0,0,0,0,0,0,0,0,0,0
B5,R,Pre,0,18,0,4,46,0,0,0,0,0,0,0
C1,UR,Legacy,1,2,1,50,6,0,0,1,0,0,0,0
C1,UR,Post,0,2,14,2,0,0,1,0,0,0,0,0
C1,UR,Pre,0,0,1,0,7,0,0,0,0,0,0,0
C12,R,Legacy,0,7,0,5,0,0,0,0,0,0,0,0
C12,R,Post,0,8,0,15,0,0,12,0,0,0,0,0
C12,R,Pre,2,52,11,84,6,0,1,1,1,0,0,0
C6,R,Legacy,0,0,5,0,118,0,0,0,0,440,7,0
C6,R,Post,0,0,1,4,0,0,0,0,0,0,0,0
C6,R,Pre,0,7,0,16,0,0,0,0,0,0,0,0
C8,4UR,Legacy,0,11,57,36,2,0,7,2,0,0,0,0
C8,4UR,Post,0,7,2,17,0,0,0,0,0,0,0,0
C8,4UR,Pre,0,50,98,31,0,0,0,0,0,0,0,0
C9,U,Legacy,0,14,0,47,2,0,0,0,0,3,0,0
C9,U,Post,0,2,74,11,6,0,0,0,0,0,0,0
C9,U,Pre,0,5,2,48,0,0,0,0,0,0,0,0
D1,R,Legacy,3,0,0,2,0,0,3,0,0,0,0,0
D1,R,Post,0,3,4,2,0,0,1,0,0,0,0,0
D1,R,Pre,0,0,22,3,1,0,0,0,0,0,0,0
D11,4UR,Legacy,1,4,0,8,0,0,3,936,0,0,0,0
D11,4UR,Post,0,0,0,0,0,0,0,0,0,0,0,0
D11,4UR,Pre,0,5,1065,8,37,0,0,0,0,0,0,0
D5,U,Legacy,0,1,0,11,0,0,1,0,0,0,0,0
D5,U,Post,0,9,29,6,0,0,0,0,0,0,0,0
D5,U,Pre,0,4,12,3,0,0,0,1,0,0,0,0
D7,4UR,Legacy,0,61,4,18,0,0,0,2224,0,0,0,0
D7,4UR,Post,0,0,0,0,0,0,0,0,0,0,0,0
D7,4UR,Pre,0,28,54,40,2,0,0,137,1,0,0,0
D8,U,Legacy,1,4,26,14,1,0,2,19,0,0,0,0
D8,U,Post,0,0,7,0,1,0,0,43,0,0,0,0
D8,U,Pre,0,5,18,8,2,0,3,25,0,0,0,0
E12,U,Legacy,0,2,0,36,0,0,7,0,0,0,0,0
E12,U,Post,0,1,40,3,0,0,0,0,0,0,0,0
E12,U,Pre,0,19,129,83,15,0,0,0,0,0,0,0
E3,U,Legacy,1,12,111,120,0,0,1,0,0,0,0,0
E3,U,Post,0,8,534,20,11,0,0,0,0,0,0,0
E3,U,Pre,0,1,75,11,2,0,0,0,0,0,0,0
E6,R,Legacy,0,15,0,30,0,0,0,0,0,0,0,0
E6,R,Post,0,0,0,0,0,0,0,0,0,0,0,0
E6,R,Pre,0,2,42,6,2,0,0,1,0,0,0,0
E8,UR,Legacy,0,1,0,3,1,0,1,0,0,0,0,0
E8,UR,Post,0,1,0,0,0,0,0,0,0,0,0,0
E8,UR,Pre,0,2,0,0,0,0,0,0,0,0,0,0
F1,R,Legacy,0,3,0,6,0,0,4,0,0,0,0,0
F1,R,Post,0,0,1,1,0,0,0,0,0,0,0,0
F1,R,Pre,0,0,6,0,0,0,0,0,0,0,0,0
F2,4UR,Legacy,0,13,0,298,0,0,2,1,0,0,0,0
F2,4UR,Post,0,0,0,1,0,0,2,0,0,0,0,0
F2,4UR,Pre,0,100,1475,112,256,0,0,2,0,0,0,0
F4,UR,Legacy,0,0,54,3,0,0,2,0,0,0,0,0
F4,UR,Post,0,1,0,0,0,0,0,0,0,0,0,0
F4,UR,Pre,0,26,31,38,0,0,0,1,0,0,0,0
F9,R,Legacy,0,0,0,16,0,0,14,1,0,0,0,0
F9,R,Post,0,0,0,1,0,0,0,0,0,0,0,0
F9,R,Pre,0,2,12,0,0,0,1,0,0,0,0,0
G12,4UR,Legacy,1,5,2295,118,0,0,0,186,0,0,0,0
G12,4UR,Post,0,0,0,1,0,13,3,0,0,0,0,0
G12,4UR,Pre,0,27,78,35,0,0,4,1,0,0,0,0
G4,4UR,Legacy,0,52,4,161,0,0,0,9908,0,0,0,0
G4,4UR,Post,0,0,0,0,0,0,0,0,0,0,0,0
G4,4UR,Pre,0,8,10,55,8,0,0,61,0,0,0,0
G6,UR,Legacy,0,4,0,5,0,0,0,24,0,0,0,0
G6,UR,Post,4,0,0,0,0,2,2,0,1,0,0,0
G6,UR,Pre,73,5,98,9,17,0,4,565,0,0,0,0
G7,R,Legacy,2,0,0,6,0,0,0,0,0,0,0,0
G7,R,Post,0,0,0,3,0,10,0,0,0,0,0,0
G7,R,Pre,0,1,21,3,2,0,0,10,0,0,0,0
G8,Control,Legacy,0,0,0,6,0,0,0,2,0,0,0,0
G8,Control,Post,0,0,0,0,0,0,0,0,0,0,0,0
G8,Control,Pre,0,2,0,1,5,0,2,0,0,0,0,0
G9,4UR,Legacy,32,22,4,153,0,0,11,2,0,0,0,0
G9,4UR,Post,62,0,0,0,0,2,3,0,8,0,0,0
G9,4UR,Pre,2,6,54,8,1,0,1,81,1,0,0,0
H1,Control,Post,0,0,0,0,0,0,0,0,0,0,0,0
H1,Control,Legacy,4,13,2,82,5,0,4,5,0,0,0,0
H1,Control,Pre,0,3,188,15,24,0,0,0,0,0,0,0
H10,Control,Legacy,8,5,0,78,0,0,1,0,0,0,0,0
H10,Control,Post,0,0,0,0,0,0,0,0,0,0,0,0
H10,Control,Pre,0,1,0,3,1,0,1,0,0,0,0,0
H12,UR,Legacy,21,8,0,69,0,0,0,0,0,0,0,0
H12,UR,Post,3,0,0,0,0,17,1,0,0,0,0,0
H12,UR,Pre,0,4,23,10,1,0,0,0,0,0,0,0
H2,UR,Legacy,2,0,20,11,1,0,0,5,0,0,0,4
H2,UR,Post,0,4,0,11,0,4,0,0,2,0,0,0
H2,UR,Pre,0,29,11,59,0,0,0,0,0,0,0,0
H6,U,Legacy,0,13,0,170,0,0,7,3,0,0,0,0
H6,U,Post,0,3,0,8,13,1,0,8,0,0,0,0
H6,U,Pre,0,0,1,14,4,0,2,35,1,0,0,0
