Mesocosm,Treatment,Total_biomass_g,Biomass_g_per_cm3,biomass_g_meso_benthic
A1,4,0.004907702,2.7084447130242824e-6,0.054456512
A2,0,0.012841408,7.086869569536424e-6,0.14248996721027002
A3,5,0.090240517,4.9801609602649006e-5,1.0013207735336258
A5,1,0.011372110500000001,6.275999172185431e-6,0.1261864505169496
A6,4,0.012786996,7.0568408719646795e-6,0.14188620442186514
A7,0,0.022361635,1.2340857996688742e-5,0.24812767245691011
A9,2,0.027300073,1.5066265656732892e-5,0.30292524482703526
B1,1,0.011461156,6.325141004415011e-6,0.1271745056792945
B11,2,0.009504258,5.245175662251655e-6,0.10546051409483378
B12,0,0.020059663,1.1070454304635763e-5,0.22258469065820938
B3,6,0.03042931,1.6793217549668875e-5,0.33764767285871955
B4,0,0.062736331,3.462269944812362e-5,0.6961306766955043
B6,7,0.002600363,1.4350789183222958e-6,0.028853973677586634
B7,3,0.061737629,3.407153907284768e-5,0.6850489398256375
B8,0,0.017058536,9.41420331125828e-6,0.1892837885571182
C10,4,0.021032579,1.160738366445916e-5,0.23338029598504365
C2,2,0.005921812,3.2681083498896245e-6,0.065709217
C3,4,0.018943486,1.0454462428256071e-5,0.2101994391157746
C5,2,0.007494904,4.1362605960264904e-6,0.083164454
C7,2,9.555475999999999e-4,5.273441501103753e-7,0.010602883250561971
D10,0,0.127057742,7.012016650110376e-5,1.4098495996695084
D12,4,0.119488169,6.594269817880795e-5,1.3258566154011655
D2,4,0.004065525,2.2436669426048564e-6,0.045111601
D3,6,0.092744344,5.11834129580574e-5,1.0291035784619889
D4,2,0.01919491,1.0593217439293598e-5,0.2129892741450499
D6,0,0.086672295,4.783239221854304e-5,0.9617273087833627
D9,6,0.005894007,3.2527632450331126e-6,0.065400686
E1,4,0.01565114,8.637494591611478e-6,0.17366713314834042
E10,2,0.010237313,5.649731291390728e-6,0.11359458764665271
E11,3,0.004293619,2.3695468543046357e-6,0.047642566
E2,7,0.025456084,1.4048611534216336e-5,0.2824640946497976
E4,4,0.004980876,2.748827814569536e-6,0.055268463
E5,3,0.007852667,4.333701214128036e-6,0.087134233
E7,4,0.015371141,8.48296986754967e-6,0.1705602292257128
E9,2,0.012420576,6.854622516556291e-6,0.13782036314332433
F11,0,0.003925353,2.1663093929359825e-6,0.043556234715201585
F12,2,0.003785545,2.0891529801324505e-6,0.042004913
F3,4,0.004745819,2.619105408388521e-6,0.052660238783812305
F5,0,0.029991489,1.6551594481236202e-5,0.3327895528156737
F6,5,0.246077766,1.3580450662251656e-4,2.7305116181099804
F8,2,0.004213293,2.325216892935982e-6,0.046751259576643625
G1,2,0.105632138,5.829588206953642e-5,1.1721082550028326
G10,2,0.019745709,1.0897190242825609e-5,0.21910100999444038
G11,5,0.018454574,1.0184643267108167e-5,0.2047744029912305
G2,1,0.038305652,2.1139984724061812e-5,0.42504461251912345
G3,2,0.030265874,1.670302117549669e-5,0.33583416715324893
G5,3,0.140485828,7.753081009933775e-5,1.5588494299836468
G8,0,0.004636826,2.5589545474613686e-6,0.051450834
H1,0,0.017174195,9.478032349889624e-6,0.19056714752575776
H10,0,0.005428148,2.9956666666666666e-6,0.060231452
H11,4,0.012397444,6.841856291390728e-6,0.13756368295648141
H4,4,0.209457867,1.1559484906181016e-4,2.324172343074584
H5,2,0.014998791,8.277478686534217e-6,0.1664285838839167
H8,4,0.288847773,1.5940826318984548e-4,3.2050933027758517
H9,1,0.09060835,5.000460805739514e-5,1.0054022996399972
